,GEOID,cluster_name,start_year,end_year,geometry
0,14000US36005000200,stationary,2012,2015,"POLYGON ((-73.865218 40.814529, -73.864255 40.814658, -73.863329 40.814782, -73.862404 40.814906, -73.861482 40.815028999999996, -73.860554 40.815155, -73.859717 40.815269, -73.859555 40.815114, -73.858383 40.813997, -73.858189 40.813812, -73.85772 40.813362, -73.857156 40.812824, -73.856133 40.811415, -73.85561799999999 40.810607999999995, -73.85545599999999 40.809947, -73.855312 40.809329, -73.855295 40.808899, -73.855159 40.808318, -73.854984 40.807716, -73.854807 40.807258999999995, -73.854604 40.806526999999996, -73.854417 40.80578, -73.85586099999999 40.805671, -73.856498 40.805682, -73.856487 40.80547, -73.856478 40.805409, -73.85652999999999 40.804794, -73.855426 40.804505999999996, -73.855256 40.804607999999995, -73.854632 40.799724, -73.862965 40.79767, -73.866484 40.805901, -73.86231 40.80992, -73.861165 40.811127, -73.861612 40.811358999999996, -73.862934 40.812047, -73.86332399999999 40.812265, -73.86708 40.814440999999995, -73.865218 40.814529))"
1,14000US36005000400,stationary,2012,2015,"POLYGON ((-73.859597 40.815283, -73.85870299999999 40.815405, -73.85777999999999 40.815529999999995, -73.856783 40.815661999999996, -73.85551699999999 40.815833, -73.85471799999999 40.815942, -73.85361999999999 40.816088, -73.851629 40.816354, -73.851145 40.814395999999995, -73.850899 40.814344, -73.850115 40.814419, -73.849097 40.814551, -73.848112 40.814687, -73.847054 40.814826, -73.846632 40.813013, -73.846097 40.813078999999995, -73.84646699999999 40.812306, -73.846387 40.811625, -73.84313399999999 40.811603, -73.845117 40.806298999999996, -73.846654 40.801024, -73.853072 40.800112999999996, -73.854632 40.799724, -73.855256 40.804607999999995, -73.855426 40.804505999999996, -73.85652999999999 40.804794, -73.856478 40.805409, -73.856487 40.80547, -73.856498 40.805682, -73.85586099999999 40.805671, -73.854417 40.80578, -73.854604 40.806526999999996, -73.854807 40.807258999999995, -73.854984 40.807716, -73.855159 40.808318, -73.855295 40.808899, -73.855312 40.809329, -73.85545599999999 40.809947, -73.85561799999999 40.810607999999995, -73.856133 40.811415, -73.857156 40.812824, -73.85772 40.813362, -73.858189 40.813812, -73.858383 40.813997, -73.859555 40.815114, -73.859717 40.815269, -73.859597 40.815283))"
2,14000US36005001600,stationary,2012,2015,"POLYGON ((-73.862464 40.819247, -73.861531 40.819379, -73.86202899999999 40.821509, -73.861114 40.821632, -73.860193 40.821757, -73.859262 40.821881999999995, -73.85826399999999 40.822013, -73.858445 40.822773999999995, -73.855312 40.823192, -73.855136 40.822435999999996, -73.854967 40.82168, -73.85480799999999 40.821028999999996, -73.854637 40.8203, -73.854142 40.818238, -73.853949 40.817467, -73.853787 40.816815, -73.85361999999999 40.816088, -73.85471799999999 40.815942, -73.85551699999999 40.815833, -73.856783 40.815661999999996, -73.85777999999999 40.815529999999995, -73.85870299999999 40.815405, -73.859597 40.815283, -73.859717 40.815269, -73.860554 40.815155, -73.861482 40.815028999999996, -73.861982 40.817135, -73.862078 40.817521, -73.862464 40.819247))"
3,14000US36005001900,stationary,2012,2015,"POLYGON ((-73.931801 40.807876, -73.930938 40.808253, -73.93010799999999 40.808876999999995, -73.92952199999999 40.809322, -73.92944 40.809384, -73.929332 40.809470999999995, -73.929219 40.809563999999995, -73.928556 40.809045999999995, -73.927618 40.808637999999995, -73.92742 40.808552, -73.926524 40.808161999999996, -73.925507 40.807718, -73.924713 40.80737, -73.92426499999999 40.807175, -73.92263799999999 40.806478999999996, -73.921448 40.805989, -73.920615 40.805651, -73.918819 40.804905, -73.917315 40.804297999999996, -73.915868 40.803714, -73.915449 40.803540999999996, -73.914941 40.803622999999995, -73.914653 40.803757, -73.914429 40.803844999999995, -73.913478 40.804263, -73.912947 40.804497999999995, -73.912719 40.80458, -73.91241 40.804691, -73.912278 40.804815999999995, -73.911476 40.805171, -73.910555 40.805594, -73.909672 40.805994, -73.909127 40.806166, -73.90844299999999 40.806477, -73.907833 40.806762, -73.906655 40.807311999999996, -73.90635 40.807499, -73.906089 40.807744, -73.905616 40.808097, -73.90496 40.808530999999995, -73.903074 40.80988, -73.90305699999999 40.809782999999996, -73.903042 40.809697, -73.90303 40.809630999999996, -73.903002 40.809486, -73.902988 40.809363999999995, -73.902952 40.809146, -73.902433 40.806584, -73.902294 40.805935, -73.901892 40.805006999999996, -73.895736 40.802633, -73.892504 40.801206, -73.89611 40.796918999999995, -73.897722 40.795138, -73.899869 40.792449, -73.91245599999999 40.796096, -73.913624 40.796786, -73.91380199999999 40.796834, -73.91390299999999 40.796842999999996, -73.914462 40.797042, -73.91575399999999 40.797588999999995, -73.916252 40.797838, -73.91630599999999 40.797881, -73.918669 40.798801, -73.918812 40.798853, -73.91890099999999 40.798902999999996, -73.91905299999999 40.798988, -73.91909799999999 40.799012999999995, -73.919861 40.799352999999996, -73.920357 40.799672, -73.920728 40.800101, -73.921052 40.800641999999996, -73.921204 40.801010999999995, -73.921622 40.801446999999996, -73.921742 40.801688999999996, -73.92233999999999 40.801961999999996, -73.923022 40.802425, -73.923633 40.802554, -73.923748 40.802548, -73.923801 40.802504, -73.924069 40.802468, -73.92508099999999 40.802521, -73.926419 40.802476, -73.92656199999999 40.802476, -73.926737 40.8025, -73.92725 40.802558, -73.927525 40.802763999999996, -73.928225 40.80385, -73.928401 40.804106, -73.929986 40.805793, -73.930347 40.806196, -73.93040599999999 40.806478999999996, -73.93116599999999 40.807204999999996, -73.931801 40.807876))"
4,14000US36005002000,stationary,2012,2015,"POLYGON ((-73.87050099999999 40.820364, -73.868881 40.820586, -73.86857599999999 40.820623999999995, -73.867656 40.820751, -73.86669599999999 40.820879999999995, -73.865746 40.821011999999996, -73.864511 40.819846999999996, -73.864314 40.818999, -73.863705 40.819083, -73.863391 40.819122, -73.862464 40.819247, -73.862078 40.817521, -73.861982 40.817135, -73.861482 40.815028999999996, -73.862404 40.814906, -73.863329 40.814782, -73.864255 40.814658, -73.865218 40.814529, -73.86708 40.814440999999995, -73.869545 40.816095, -73.86962 40.816480999999996, -73.869665 40.816708999999996, -73.869969 40.818267999999996, -73.87050099999999 40.820364))"
5,14000US36005002300,stationary,2012,2015,"POLYGON ((-73.928806 40.809899, -73.928135 40.809622, -73.927773 40.810108, -73.927673 40.810235, -73.927121 40.810949, -73.926321 40.810586, -73.92614 40.810503, -73.925142 40.81005, -73.92288599999999 40.809106, -73.923375 40.808431999999996, -73.92383699999999 40.807809, -73.92426499999999 40.807175, -73.924713 40.80737, -73.925507 40.807718, -73.926524 40.808161999999996, -73.92742 40.808552, -73.927618 40.808637999999995, -73.928556 40.809045999999995, -73.929219 40.809563999999995, -73.928806 40.809899))"
6,14000US36005002500,stationary,2012,2015,"POLYGON ((-73.92383699999999 40.807809, -73.923375 40.808431999999996, -73.92288599999999 40.809106, -73.920046 40.807907, -73.919224 40.807558, -73.917479 40.806823, -73.917964 40.806115999999996, -73.918819 40.804905, -73.920615 40.805651, -73.921448 40.805989, -73.92263799999999 40.806478999999996, -73.92426499999999 40.807175, -73.92383699999999 40.807809))"
7,14000US36005002701,stationary,2012,2015,"POLYGON ((-73.917964 40.806115999999996, -73.917479 40.806823, -73.914495 40.805561, -73.914997 40.804871999999996, -73.913478 40.804263, -73.914429 40.803844999999995, -73.914653 40.803757, -73.914941 40.803622999999995, -73.915449 40.803540999999996, -73.915868 40.803714, -73.917315 40.804297999999996, -73.918819 40.804905, -73.917964 40.806115999999996))"
8,14000US36005002702,stationary,2012,2015,"POLYGON ((-73.91701499999999 40.807506, -73.916589 40.808133, -73.916184 40.808789999999995, -73.915392 40.808453, -73.914332 40.808006999999996, -73.91339599999999 40.807609, -73.912543 40.807243, -73.91166799999999 40.806965999999996, -73.910782 40.8067, -73.90958599999999 40.806326, -73.909127 40.806166, -73.909672 40.805994, -73.910555 40.805594, -73.911476 40.805171, -73.912278 40.804815999999995, -73.91241 40.804691, -73.912719 40.80458, -73.912947 40.804497999999995, -73.913478 40.804263, -73.914997 40.804871999999996, -73.914495 40.805561, -73.917479 40.806823, -73.91701499999999 40.807506))"
9,14000US36005002800,stationary,2012,2015,"POLYGON ((-73.884411 40.82297, -73.882761 40.823248, -73.882577 40.823277, -73.881787 40.823402, -73.87993 40.823640999999995, -73.87898899999999 40.823710999999996, -73.878064 40.823834, -73.877136 40.823958, -73.87621299999999 40.824084, -73.87528499999999 40.824208, -73.874693 40.824287, -73.87437 40.824329999999996, -73.874214 40.824345, -73.873554 40.82441, -73.873432 40.824343, -73.873413 40.824225, -73.87338299999999 40.824031999999995, -73.872991 40.822302, -73.872468 40.820150999999996, -73.873057 40.820066, -73.875646 40.819697999999995, -73.876126 40.81963, -73.877844 40.819418, -73.879769 40.819181, -73.880546 40.818467999999996, -73.88098099999999 40.818238, -73.882448 40.819269, -73.883788 40.821933, -73.884328 40.822614, -73.88435799999999 40.822739, -73.884396 40.822902, -73.884411 40.82297))"
