B02001e1|RACE - Universe:  Total population - Total: -- (Estimate) (should be same as next column)
B03002e1|HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total: -- (Estimate)
B03002e3|HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total:  Not Hispanic or Latino:  White alone -- (Estimate)
B03002e4|HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total:  Not Hispanic or Latino:  Black or African American alone -- (Estimate)
B03002e5|HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total:  Not Hispanic or Latino:  American Indian and Alaska Native alone -- (Estimate)
B03002e6|HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total:  Not Hispanic or Latino:  Asian alone -- (Estimate)
B03002e12|HISPANIC OR LATINO ORIGIN BY RACE - Universe:  Total population - Total:  Hispanic or Latino: -- (Estimate)
B17017e1|POVERTY STATUS IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER - Universe:  Households - Total: -- (Estimate)
B17017e2|POVERTY STATUS IN THE PAST 12 MONTHS BY HOUSEHOLD TYPE BY AGE OF HOUSEHOLDER - Universe:  Households - Total:  Income in the past 12 months below poverty level: -- (Estimate)
B19001e1|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total: -- (Estimate)
B19001e2|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  Less than $10,000 -- (Estimate)
B19001e3|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $10,000 to $14,999 -- (Estimate)
B19001e4|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $15,000 to $19,999 -- (Estimate)
B19001e5|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $20,000 to $24,999 -- (Estimate)
B19001e6|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $25,000 to $29,999 -- (Estimate)
B19001e7|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $30,000 to $34,999 -- (Estimate)
B19001e8|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $35,000 to $39,999 -- (Estimate)
B19001e9|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $40,000 to $44,999 -- (Estimate)
B19001e10|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $45,000 to $49,999 -- (Estimate)
B19001e11|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $50,000 to $59,999 -- (Estimate)
B19001e12|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $60,000 to $74,999 -- (Estimate)
B19001e13|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $75,000 to $99,999 -- (Estimate)
B19001e14|HOUSEHOLD INCOME IN THE PAST 12 MONTHS (IN 2011 INFLATION-ADJUSTED DOLLARS) - Universe:  Households - Total:  $100,000 to $124,999 -- (Estimate)
