,GEOID,B02001e1,B03002e1,B03002e3,B03002e4,B03002e5,B03002e6,B03002e12,B17017e1,B17017e2,B19001e1,B19001e2,B19001e3,B19001e4,B19001e5,B19001e6,B19001e7,B19001e8,B19001e9,B19001e10,B19001e11,B19001e12,B19001e13,B19001e14,B19001e15,B19001e16,B19001e17,B19013e1,B25001e1,B25002e1,B25002e2,B25002e3,B25003e1,B25003e2,B25003e3,B25004e1,B25004e2,B25004e3,B25004e4,B25004e5,B25004e6,B25004e7,B25004e8,B25063e1,B25063e2,B25063e3,B25063e4,B25063e5,B25063e6,B25063e7,B25063e8,B25063e9,B25063e10,B25063e11,B25063e12,B25063e13,B25063e14,B25063e15,B25063e16,B25063e17,B25063e18,B25063e19,B25063e20,B25063e21,B25063e22,B25063e23,B25063e24,B25064e1,B25075e1,B25075e2,B25075e3,B25075e4,B25075e5,B25075e6,B25075e7,B25075e8,B25075e9,B25075e10,B25075e11,B25075e12,B25075e13,B25075e14,B25075e15,B25075e16,B25075e17,B25075e18,B25075e19,B25075e20,B25075e21,B25075e22,B25075e23,B25075e24,B25075e25,B25077e1
0,14000US36005000100,8430,8430,585,4647,4,167,2943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,14000US36005000200,5095,5095,115,1041,0,331,3505,1379,294,1379,175,41,43,44,92,44,27,18,37,75,95,249,229,133,46,31,74837.0,1475,1475,1379,96,1379,802,577,96,7,0,0,14,0,0,75,577,577,0,0,0,14,0,0,25,34,0,0,0,0,0,20,0,0,71,109,120,119,65,0,1282.0,802,0,0,0,0,0,11,11,0,0,0,0,9,0,0,0,10,0,47,39,240,326,97,12,0,410400.0
2,14000US36005000400,5572,5572,160,1709,0,21,3533,1819,159,1819,104,58,78,27,46,40,96,79,8,135,169,376,270,162,112,59,77991.0,1995,1995,1819,176,1819,1312,507,176,16,0,31,22,33,0,74,507,480,0,0,0,0,0,0,0,0,0,20,0,0,12,0,21,6,16,87,81,182,55,27,1491.0,1312,8,0,6,0,5,6,0,8,0,0,0,0,0,0,36,61,9,41,195,519,301,117,0,0,354100.0
3,14000US36005001600,5412,5412,75,1609,0,0,3694,1912,400,1912,212,221,128,121,161,178,121,136,57,159,76,151,100,30,7,54,32354.0,2038,2038,1912,126,1912,375,1537,126,31,19,0,0,0,0,76,1537,1529,0,0,22,66,71,68,14,17,62,8,113,61,41,41,77,62,209,384,97,116,0,8,920.0,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,153,63,103,33,0,418300.0
4,14000US36005001900,2569,2569,209,705,0,39,1509,834,275,834,141,33,47,29,108,66,94,45,36,66,27,69,29,0,44,0,34635.0,895,895,834,61,834,62,772,61,28,0,0,0,0,0,33,772,764,0,0,0,48,7,0,0,0,22,5,8,26,36,6,6,61,41,230,80,81,107,8,1126.0,62,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,9,6,0,0,360000.0
5,14000US36005002000,8959,8959,114,3090,27,290,5264,2980,1203,2980,716,343,291,193,176,352,210,73,27,110,111,186,80,0,70,42,23423.0,3169,3169,2980,189,2980,498,2482,189,63,13,0,0,60,0,53,2482,2460,0,0,78,172,286,75,151,200,113,49,102,164,80,46,248,129,152,156,113,51,95,22,601.0,498,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,315,113,44,0,0,370800.0
6,14000US36005002300,4860,4860,20,1855,0,0,2985,1883,1064,1883,637,363,255,163,62,75,15,27,76,68,29,75,29,9,0,0,14304.0,1960,1960,1883,77,1883,17,1866,77,63,0,0,0,0,0,14,1866,1866,0,28,26,354,233,166,130,241,128,109,65,60,44,90,59,74,0,50,0,0,9,0,398.0,17,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,
7,14000US36005002400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
8,14000US36005002500,5143,5143,59,826,0,234,4018,1794,1035,1794,477,379,177,189,52,95,77,12,62,89,86,28,40,20,0,11,15683.0,2051,2051,1794,257,1794,33,1761,257,83,57,12,0,24,0,81,1761,1723,0,13,20,207,168,107,25,181,36,89,22,34,71,36,49,100,82,221,166,96,0,38,585.0,33,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,0,480800.0
9,14000US36005002701,3172,3172,0,1006,0,0,2143,1086,577,1086,322,112,105,111,63,53,33,79,50,73,41,44,0,0,0,0,20159.0,1117,1117,1086,31,1086,0,1086,31,31,0,0,0,0,0,0,1086,1086,0,0,22,180,35,59,71,62,0,55,0,99,25,0,58,43,59,125,89,98,6,0,630.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
10,14000US36005002702,4683,4683,97,1188,0,0,3355,1333,659,1333,285,279,157,24,106,126,158,18,12,29,37,93,9,0,0,0,18416.0,1423,1423,1333,90,1333,30,1303,90,24,24,0,0,0,0,42,1303,1303,0,5,37,148,25,48,48,69,0,0,52,41,40,0,19,31,115,251,123,251,0,0,977.0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,
11,14000US36005002800,5746,5746,11,4074,0,65,1438,2336,245,2336,177,108,110,208,81,48,196,79,152,179,321,234,257,96,48,42,50388.0,2418,2418,2336,82,2336,308,2028,82,0,0,0,0,0,0,82,2028,2028,0,0,0,0,0,15,39,0,0,18,81,26,28,0,110,578,234,633,169,77,20,0,951.0,308,17,0,0,0,0,0,0,0,0,0,20,0,0,11,13,12,29,39,74,56,37,0,0,0,258800.0
