,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1,14000US36005000200,2012,71250.0,10,0.35763622409823487,1339.0,18,0.6589958158995816,422200.0,20,0.88,0.005280946345585129,0.1557943207981581,0.5386266094420601,0.565068493150685,0.3273972602739726,0.03287671232876712,0.0,0.07465753424657534
2,14000US36005000400,2012,75833.0,11,0.3793103448275862,1569.0,19,0.673866090712743,355300.0,19,0.7020033388981636,0.02629053924390712,0.07669441141498216,0.5827153451226469,0.6479177934018389,0.26176311519740403,0.020010816657652784,0.012439156300703082,0.0578691184424013
3,14000US36005001600,2012,32328.0,5,0.22938144329896906,856.0,15,0.34057971014492755,413800.0,20,0.8716707021791767,0.017944216890969377,0.18711340206185567,0.4194025436261461,0.2001938923897237,0.7401841977702375,0.0,0.00872515753756665,0.05089675230247213
4,14000US36005001900,2012,29491.0,4,0.28859060402684567,1152.0,17,0.3567073170731707,335500.0,19,0.847457627118644,0.1256198347107438,0.3825503355704698,0.42926155969634233,0.07329192546583851,0.8521739130434782,0.03354037267080745,0.0,0.040993788819875775
5,14000US36005002000,2012,22706.0,3,0.2313060817547358,537.0,9,0.14522981846272692,388100.0,19,0.7853658536585366,0.007039774727208729,0.36623462944499835,0.3318914667715297,0.12966476913345984,0.8219481340923466,0.01739405439595193,0.01865907653383934,0.012333965844402278
6,14000US36005002300,2012,13556.0,1,0.6494791666666667,349.0,5,0.3530334728033473,,30,0.0,0.020297133291483575,0.546875,0.21160409556313994,0.004018081366147665,0.9603214465092919,0.025615268709191362,0.0,0.010045203415369162
8,14000US36005002500,2012,14776.0,1,0.6467688937568455,543.0,9,0.08668197474167623,440900.0,20,0.6097560975609756,0.026959247648902823,0.5602409638554217,0.19062947067238914,0.019683149303888623,0.85693710993759,0.06240998559769563,0.0,0.060969755160825735
9,14000US36005002701,2012,26272.0,4,0.23908918406072105,608.0,11,0.222011385199241,,30,0.0,0.0,0.43548387096774194,0.25345877144438295,0.0,0.9538461538461539,0.046153846153846156,0.0,0.0
10,14000US36005002702,2012,20563.0,3,0.28145941921072226,719.0,13,0.11832946635730858,,30,0.0,0.0038273442483521157,0.4288905435591958,0.27899159663865547,0.0114247311827957,0.8911290322580645,0.08266129032258064,0.0,0.01478494623655914
11,14000US36005002800,2012,49583.0,8,0.2505437146585472,910.0,16,0.6660175267770204,270400.0,18,0.4489795918367347,0.0015376729882111738,0.09438886472379296,0.5042424242424243,0.10170195101701951,0.8526359485263595,0.0,0.0,0.045662100456621
12,14000US36005003100,2012,34250.0,5,0.23678646934460887,950.0,16,0.7193460490463215,55800.0,8,0.07228915662650602,0.0,0.19661733615221988,0.3767741935483871,0.15009041591320071,0.705244122965642,0.09584086799276673,0.0,0.048824593128390596
13,14000US36005003300,2012,21282.0,3,0.2786885245901639,485.0,8,0.15059055118110237,391200.0,19,0.46853146853146854,0.012785636561479869,0.4771354616048318,0.3429566948730712,0.11588330632090761,0.8233387358184765,0.03970826580226904,0.0,0.02106969205834684
14,14000US36005003500,2012,21359.0,3,0.2690196078431373,696.0,12,0.04769874476987448,427600.0,20,0.6904761904761905,0.01293800539083558,0.3772549019607843,0.26187183033656064,0.03143712574850299,0.9229041916167665,0.01721556886227545,0.0,0.02844311377245509
15,14000US36005003700,2012,26116.0,4,0.4939759036144578,988.0,16,0.4457831325301205,,30,0.0,0.0,0.3493975903614458,0.1037037037037037,0.0,1.0,0.0,0.0,0.0
16,14000US36005003800,2012,37125.0,6,0.08108108108108109,818.0,15,0.12033195020746888,472200.0,20,0.8795180722891566,0.014442916093535076,0.35626535626535627,0.5645355850422196,0.3747178329571106,0.5440180586907449,0.0,0.04288939051918736,0.03837471783295711
17,14000US36005003900,2012,23528.0,3,0.20756646216768918,894.0,15,0.17816742081447964,507800.0,21,0.7441860465116279,0.02385923053981509,0.42586912065439675,0.27623073097961215,0.07550482879719052,0.7831431079894644,0.06935908691834942,0.0,0.07199297629499561
18,14000US36005004001,2012,46418.0,8,0.26043737574552683,991.0,16,0.27391304347826084,350000.0,19,0.4961832061068702,0.11386138613861387,0.11133200795228629,0.5052410901467506,0.4540727902946274,0.41767764298093585,0.0,0.045060658578856154,0.0831889081455806
19,14000US36005004100,2012,18590.0,2,0.3528816986855409,514.0,9,0.1288441145281018,240800.0,17,0.8125,0.006179686262082079,0.435793731041456,0.3205470313542362,0.036680421824850984,0.8702430077945896,0.05089408528198074,0.009170105456212746,0.033012379642365884
20,14000US36005004200,2012,26378.0,4,0.17494440326167532,609.0,11,0.18065034122842233,225300.0,17,0.4587628865979381,0.005183649289099526,0.25055596738324687,0.4114071996259935,0.06903914590747331,0.8911032028469751,0.012811387900355872,0.0,0.02704626334519573
21,14000US36005004300,2012,22674.0,3,0.25028968713789107,709.0,13,0.08106355382619974,420200.0,20,0.8858695652173914,0.007744241461477363,0.44148319814600234,0.3333333333333333,0.09494324045407637,0.7956656346749226,0.06656346749226007,0.0,0.04282765737874097
22,14000US36005004400,2012,22478.0,3,0.200836820083682,460.0,8,0.14011896893588896,562500.0,21,0.59375,0.022408376963350785,0.45307830245068736,0.3622396722430864,0.09243212016175621,0.8740612362796072,0.0,0.0,0.033506643558636626
23,14000US36005004600,2012,23654.0,3,0.22507552870090636,714.0,13,0.25354609929078015,95800.0,12,0.6746987951807228,0.013602015113350126,0.32779456193353473,0.21922796795338675,0.11307901907356949,0.7888283378746594,0.01226158038147139,0.0,0.08583106267029973
24,14000US36005004800,2012,24928.0,3,0.31825037707390647,992.0,16,0.5930131004366812,394400.0,19,0.5729166666666666,0.00947193937958797,0.38687782805429866,0.2191625801584308,0.06813342796309439,0.872959545777147,0.014904187366926898,0.0,0.0440028388928318
25,14000US36005005001,2012,30504.0,5,0.18424657534246575,1197.0,17,0.6282679738562091,450000.0,20,0.7233009708737864,0.0,0.3363013698630137,0.3442566402207658,0.1306277742549144,0.7951807228915663,0.0,0.0,0.07419150285351934
